类别,名称,详情
基础针法,掺针,"长短针脚呈阶梯状穿插，不同颜色丝线按""浅-深-浅""顺序交错，完美表现物象的立体形态和晕染效果，是湘绣仿真绣的基础与核心针法。"
基础针法,鬅毛针,湘绣特有标志性针法，由余振辉在20世纪30年代创造，采用双针组合施绣，专用于表现狮、虎等动物毛发的蓬松、刚劲与立体质感。
基础针法,旋游针,专用于绣制动物眼球，以眼球中心点为圆心，用3-4种色线分层呈螺旋状绣制，让动物眼球看起来炯炯有神。
基础针法,乱针绣,针脚直斜交叉、长短不一，按物象的光影走向排列，极大增强物象的立体感与光影效果，常用于绣制山水的阴影部分。
传统针法,平绣,针脚平铺、纹理平整，是湘绣最基础的针法类别，包括直针、铺针、帘针等32种，适配大部分题材的基底绣制。
传统针法,织绣,模拟织物纹理，通过绣线交织呈现类似纺织物的质感，包括平织、交织、对织等15种，常用于绣制布料纹理。
传统针法,网绣,通过绣线交叉形成网状结构，多用于装饰性纹样或镂空效果，包括十字针、三角网针等11种。
传统针法,粗绣,使用较粗的绣线或特殊技法，呈现厚重、立体的装饰效果，包括毡环针、雀眼针等8种，多用于器物、服饰的质感表现。
传统针法,结绣,以绣线打结的方式形成立体结点，多用于装饰性纹样或小型图案，包括圆子针、打籽针等6种。
创新针法,派力司针,以0.2-0.3厘米的细密平行短线密集排列，能模拟精纺毛料的哑光质感，常用于绣制现代服饰、家居软装类作品。
创新针法,蜂窝针,借鉴蜂巢的几何结构，用绣线以六边形为单元重复绣制，形成立体网状肌理，多用于装饰画的背景、器物的镂空纹样设计。
